iteration,w_mse,w_anatomy
344,1.00000000,0.70682222
345,1.00000000,0.71094950
346,1.00000000,0.71504211
347,1.00000000,0.71909966
348,1.00000000,0.72312181
349,1.00000000,0.72710822
350,1.00000000,0.73105858
351,1.00000000,0.73497260
352,1.00000000,0.73885001
353,1.00000000,0.74269055
354,1.00000000,0.74649398
355,1.00000000,0.75026011
356,1.00000000,0.75398872
357,1.00000000,0.75767964
358,1.00000000,0.76133271
359,1.00000000,0.76494780
360,1.00000000,0.76852478
361,1.00000000,0.77206355
362,1.00000000,0.77556401
363,1.00000000,0.77902611
364,1.00000000,0.78244978
365,1.00000000,0.78583498
366,1.00000000,0.78918171
367,1.00000000,0.79248994
368,1.00000000,0.79575970
369,1.00000000,0.79899100
370,1.00000000,0.80218389
371,1.00000000,0.80533842
372,1.00000000,0.80845465
373,1.00000000,0.81153267
374,1.00000000,0.81457258
375,1.00000000,0.81757448
376,1.00000000,0.82053848
377,1.00000000,0.82346473
378,1.00000000,0.82635335
379,1.00000000,0.82920452
380,1.00000000,0.83201839
381,1.00000000,0.83479513
382,1.00000000,0.83753494
383,1.00000000,0.84023800
384,1.00000000,0.84290453
385,1.00000000,0.84553473
386,1.00000000,0.84812884
387,1.00000000,0.85068707
388,1.00000000,0.85320966
389,1.00000000,0.85569687
390,1.00000000,0.85814894
391,1.00000000,0.86056613
392,1.00000000,0.86294871
393,1.00000000,0.86529695
394,1.00000000,0.86761113
395,1.00000000,0.86989153
396,1.00000000,0.87213843
397,1.00000000,0.87435214
398,1.00000000,0.87653295
399,1.00000000,0.87868116
400,1.00000000,0.88079708
401,1.00000000,0.88288101
402,1.00000000,0.88493327
403,1.00000000,0.88695417
404,1.00000000,0.88894403
405,1.00000000,0.89090318
406,1.00000000,0.89283193
407,1.00000000,0.89473061
408,1.00000000,0.89659955
409,1.00000000,0.89843907
410,1.00000000,0.90024951
411,1.00000000,0.90203120
412,1.00000000,0.90378446
413,1.00000000,0.90550963
414,1.00000000,0.90720705
415,1.00000000,0.90887704
416,1.00000000,0.91051994
417,1.00000000,0.91213609
418,1.00000000,0.91372581
419,1.00000000,0.91528943
420,1.00000000,0.91682730
421,1.00000000,0.91833974
422,1.00000000,0.91982709
423,1.00000000,0.92128966
424,1.00000000,0.92272780
425,1.00000000,0.92414182
426,1.00000000,0.92553205
427,1.00000000,0.92689883
428,1.00000000,0.92824246
429,1.00000000,0.92956327
430,1.00000000,0.93086158
431,1.00000000,0.93213771
432,1.00000000,0.93339196
433,1.00000000,0.93462467
434,1.00000000,0.93583612
435,1.00000000,0.93702664
436,1.00000000,0.93819653
437,1.00000000,0.93934610
438,1.00000000,0.94047563
439,1.00000000,0.94158544
440,1.00000000,0.94267582
441,1.00000000,0.94374707
442,1.00000000,0.94479946
443,1.00000000,0.94583330
444,1.00000000,0.94684886
445,1.00000000,0.94784644
446,1.00000000,0.94882630
447,1.00000000,0.94978873
448,1.00000000,0.95073399
449,1.00000000,0.95166237
450,1.00000000,0.95257413
451,1.00000000,0.95346953
452,1.00000000,0.95434883
453,1.00000000,0.95521230
454,1.00000000,0.95606018
455,1.00000000,0.95689275
456,1.00000000,0.95771023
457,1.00000000,0.95851288
458,1.00000000,0.95930095
459,1.00000000,0.96007467
460,1.00000000,0.96083428
461,1.00000000,0.96158001
462,1.00000000,0.96231211
463,1.00000000,0.96303079
464,1.00000000,0.96373628
465,1.00000000,0.96442881
466,1.00000000,0.96510859
467,1.00000000,0.96577584
468,1.00000000,0.96643078
469,1.00000000,0.96707361
470,1.00000000,0.96770454
471,1.00000000,0.96832377
472,1.00000000,0.96893152
473,1.00000000,0.96952797
474,1.00000000,0.97011332
475,1.00000000,0.97068777
476,1.00000000,0.97125150
477,1.00000000,0.97180471
478,1.00000000,0.97234758
479,1.00000000,0.97288028
480,1.00000000,0.97340301
481,1.00000000,0.97391592
482,1.00000000,0.97441921
483,1.00000000,0.97491304
484,1.00000000,0.97539757
